Наличные курсы,USD,USD,EURO,EURO,RUB,RUB,KZT,KZT,date
Банк,Покупка,Продажа,Покупка,Продажа,Покупка,Продажа,Покупка,Продажа,date
Банк Азии,"81,00","82,00","82,00","83,00","1,3500","1,4500","0,1180","0,1900"," Июль 18, 2022, 5 п.п."
KICB,"83,00","84,00","84,00","85,00","1,3500","1,4500","0,1100","0,1950"," Июль 18, 2022, 5 п.п."
Банк КЫРГЫЗСТАН,"82,00","83,00","83,00","84,00","1,3500","1,4300","0,1100","0,1900"," Июль 18, 2022, 5 п.п."
Оптима Банк,"82,50","83,50","84,50","85,50","1,3500","1,4500","0,1150","0,1950"," Июль 18, 2022, 5 п.п."
РСК Банк,"82,00","83,00","84,00","85,00","1,3500","1,4500","0,1100","0,1900"," Июль 18, 2022, 5 п.п."
Демир Банк,"83,00","84,00","85,00","86,00","1,3600","1,4500","0,1100","0,2000"," Июль 18, 2022, 5 п.п."
FINCA Банк,"82,50","83,50","83,50","84,50","1,3500","1,4400","0,1180","0,1900"," Июль 18, 2022, 5 п.п."
Банк Компаньон,"81,00","82,00","82,20","83,20","1,3500","1,4500","0,1180","0,2100"," Июль 18, 2022, 5 п.п."
Моссовет / valuta.kg,"82,87","83,87","87,50","88,50","1,0230","1,1600","0,1094","0,2010"," Май 10, 2022, 3:23 п.п."
